Feature,Coefficient
2260,-38455.37888103572
2518,-28025.22598514556
982,-24879.487534647058
2208,-23444.42720426175
1329,-21626.919888520515
1200,-20094.95707585675
1113,-18433.968784112134
366,-18425.07682971883
2021,-18365.616657118553
2582,-18257.954273716037
