Feature,Coefficient
paralegal,-39578.047909744
resident,-27644.943093607475
adjunct,-25451.48892863255
office,-24018.18145955858
clerk,-21987.928312774045
bookkeeper,-20601.961605392244
technician,-19049.692508396387
assistant,-18906.813534714118
secretary,-18896.17382834825
legal,-18892.477584378175
