Feature,Coefficient
physician,74365.20335088018
svp,63705.523506527206
md,62124.65894329702
partner,58462.56592686038
psychiatrist,53442.28588877644
city_Bay Area,46930.74173165663
equity,45417.19641270584
chief,43911.428345662694
machine,41834.969271578484
onlyfans,41535.877486182064
