Feature,Coefficient
physician,75982.92193289366
svp,63572.90973857793
md,62366.08423158938
partner,59051.12581178279
psychiatrist,53834.40341890792
city_Bay Area,47099.36673788649
equity,45696.35212476979
chief,44228.234939445014
machine,42013.77789316579
onlyfans,41327.363570366695
