r2,Negative RMSE,alpha
0.49521186501224257,-37852.217453707584,6.1584821106602545
0.4910222347372669,-38008.78572811618,20.6913808111479
0.4892869158767481,-38074.16926110968,1.8329807108324339
0.47688240327054937,-38534.28919605195,0.5455594781168515
0.4740376538772132,-38637.83294048191,69.51927961775606
0.46447860207858704,-38988.93200065955,0.1623776739188721
0.45743752658533926,-39244.51674095083,0.04832930238571752
0.4530490679038535,-39402.66725481339,0.01438449888287663
0.45218298496968734,-39433.41068854155,0.004281332398719391
0.45202087807455393,-39439.29503077801,0.00011288378916846884
0.45170496670811666,-39450.72752714247,0.0012742749857031334
0.4514334099214041,-39460.585656453404,1e-05
0.45134673797668245,-39463.20918220743,0.000379269019073225
0.4509927104249088,-39475.57018696231,3.359818286283781e-05
0.4439408906633021,-39728.04659857501,233.57214690901213
0.4026840765284664,-41175.61399447266,784.7599703514607
0.3457046315264303,-43095.39367216056,2636.6508987303555
0.2605887157219303,-45814.10278256681,8858.667904100832
0.15273030878527613,-49041.57878719251,29763.51441631313
0.06616572024040797,-51484.56987374581,100000.0
